time,vertex,state,state_id,buffer_occupation,production_step
28,54,starved,0,0.0,14
28,56,starved,0,0.0,14
28,15,starved,0,0.0,15
28,39,starved,0,0.0,15
28,49,starved,0,0.0,15
28,66,starved,0,0.0,15
28,72,starved,0,0.0,15
28,16,starved,0,0.0,16
28,27,starved,0,0.0,16
28,17,starved,0,0.0,17
28,24,starved,0,0.0,17
28,45,starved,0,0.0,17
28,18,starved,0,0.0,18
28,55,starved,0,0.0,18
28,60,starved,0,0.0,18
28,64,starved,0,0.0,18
28,19,starved,0,0.0,19
28,44,working,2,0.0,19
28,53,starved,0,0.0,19
28,62,starved,0,0.0,19
28,20,working,2,0.3333333333333333,20
28,47,working,2,0.0,20
28,21,working,2,0.0,21
28,38,working,2,0.0,21
29,0,working,2,0.0,0
29,71,working,2,0.0,0
29,1,working,2,0.3333333333333333,1
29,29,working,2,0.0,1
29,2,working,2,0.0,2
29,25,starved,0,0.0,2
29,50,starved,0,0.0,2
29,51,starved,0,0.0,2
29,70,starved,0,0.0,2
29,3,working,2,0.0,3
29,33,starved,0,0.0,3
29,4,working,2,0.0,4
29,28,working,2,0.0,4
29,41,blocked,1,0.0,4
29,52,blocked,1,0.0,4
29,69,blocked,1,0.0,4
29,5,working,2,0.6666666666666666,5
29,22,working,2,0.6666666666666666,5
29,6,working,2,0.0,6
29,23,working,2,0.0,6
29,30,working,2,0.0,6
29,46,starved,0,0.0,6
29,7,working,2,0.3333333333333333,7
29,42,working,2,0.0,7
29,67,working,2,0.0,7
29,8,working,2,0.0,8
29,40,working,2,0.0,8
29,57,starved,0,0.0,8
29,9,working,2,0.0,9
29,34,starved,0,0.0,9
29,36,starved,0,0.0,9
29,61,starved,0,0.0,9
29,10,working,2,0.0,10
29,48,starved,0,0.0,10
29,65,starved,0,0.0,10
29,73,starved,0,0.0,10
29,11,working,2,0.0,11
29,43,starved,0,0.0,11
29,58,starved,0,0.0,11
29,68,starved,0,0.0,11
29,12,working,2,0.0,12
29,32,working,2,0.3333333333333333,12
29,13,working,2,0.0,13
29,26,working,2,0.0,13
29,37,starved,0,0.0,13
29,59,starved,0,0.0,13
29,63,starved,0,0.0,13
29,14,working,2,0.0,14
29,31,working,2,0.0,14
29,35,working,2,0.0,14
29,54,starved,0,0.0,14
29,56,starved,0,0.0,14
29,15,working,2,0.0,15
29,39,working,2,0.0,15
29,49,working,2,0.0,15
29,66,starved,0,0.0,15
29,72,starved,0,0.0,15
29,16,working,2,0.3333333333333333,16
29,27,working,2,0.0,16
29,17,working,2,0.0,17
29,24,working,2,0.0,17
29,45,starved,0,0.0,17
29,18,working,2,0.0,18
29,55,working,2,0.0,18
29,60,starved,0,0.0,18
29,64,starved,0,0.0,18
29,19,working,2,0.0,19
29,44,working,2,0.0,19
29,53,starved,0,0.0,19
29,62,starved,0,0.0,19
29,20,working,2,0.3333333333333333,20
29,47,working,2,0.0,20
29,21,working,2,0.0,21
29,38,working,2,0.0,21
30,0,working,2,0.0,0
30,71,working,2,0.0,0
30,1,working,2,0.3333333333333333,1
30,29,working,2,0.3333333333333333,1
30,2,working,2,0.0,2
30,25,working,2,0.0,2
30,50,starved,0,0.0,2
30,51,starved,0,0.0,2
30,70,starved,0,0.0,2
30,3,working,2,0.0,3
30,33,working,2,0.0,3
30,4,working,2,0.0,4
30,28,working,2,0.0,4
30,41,blocked,1,0.0,4
30,52,blocked,1,0.0,4
30,69,blocked,1,0.0,4
30,5,working,2,0.6666666666666666,5
30,22,working,2,0.6666666666666666,5
30,6,working,2,0.0,6
30,23,working,2,0.0,6
30,30,starved,0,0.0,6
30,46,starved,0,0.0,6
30,7,working,2,0.3333333333333333,7
30,42,working,2,0.0,7
30,67,working,2,0.0,7
30,8,working,2,0.3333333333333333,8
30,40,working,2,0.0,8
30,57,working,2,0.0,8
30,9,working,2,0.0,9
30,34,working,2,0.0,9
30,36,working,2,0.0,9
30,61,starved,0,0.0,9
30,10,working,2,0.0,10
30,48,working,2,0.0,10
30,65,working,2,0.0,10
30,73,starved,0,0.0,10
30,11,working,2,0.0,11
30,43,working,2,0.0,11
30,58,working,2,0.0,11
30,68,starved,0,0.0,11
30,12,working,2,0.3333333333333333,12
30,32,working,2,0.0,12
30,13,working,2,0.0,13
30,26,working,2,0.0,13
30,37,starved,0,0.0,13
30,59,starved,0,0.0,13
30,63,starved,0,0.0,13
30,14,working,2,0.0,14
30,31,working,2,0.0,14
30,35,starved,0,0.0,14
30,54,starved,0,0.0,14
30,56,starved,0,0.0,14
30,15,working,2,0.0,15
30,39,working,2,0.0,15
30,49,starved,0,0.0,15
30,66,starved,0,0.0,15
30,72,starved,0,0.0,15
30,16,working,2,0.3333333333333333,16
30,27,working,2,0.0,16
30,17,working,2,0.0,17
30,24,working,2,0.0,17
30,45,starved,0,0.0,17
30,18,working,2,0.0,18
30,55,working,2,0.0,18
30,60,starved,0,0.0,18
30,64,starved,0,0.0,18
30,19,working,2,0.0,19
30,44,working,2,0.0,19
30,53,starved,0,0.0,19
30,62,starved,0,0.0,19
30,20,working,2,0.3333333333333333,20
30,47,working,2,0.0,20
30,21,working,2,0.0,21
30,38,working,2,0.0,21
31,0,working,2,0.0,0
31,71,working,2,0.0,0
31,1,working,2,0.3333333333333333,1
31,29,working,2,0.3333333333333333,1
31,2,working,2,0.0,2
31,25,working,2,0.0,2
31,50,starved,0,0.0,2
31,51,starved,0,0.0,2
31,70,starved,0,0.0,2
31,3,working,2,0.0,3
31,33,working,2,0.0,3
31,4,working,2,0.0,4
31,28,working,2,0.0,4
31,41,blocked,1,0.0,4
31,52,blocked,1,0.0,4
31,69,blocked,1,0.0,4
31,5,working,2,0.6666666666666666,5
31,22,working,2,0.6666666666666666,5
31,6,working,2,0.0,6
31,23,working,2,0.0,6
31,30,starved,0,0.0,6
31,46,starved,0,0.0,6
31,7,working,2,0.0,7
31,42,working,2,0.0,7
31,67,starved,0,0.0,7
31,8,working,2,0.3333333333333333,8
31,40,working,2,0.0,8
31,57,working,2,0.0,8
31,9,working,2,0.0,9
31,34,working,2,0.0,9
31,36,starved,0,0.0,9
31,61,starved,0,0.0,9
31,10,working,2,0.0,10
31,48,working,2,0.0,10
31,65,starved,0,0.0,10
31,73,starved,0,0.0,10
31,11,working,2,0.0,11
31,43,working,2,0.0,11
31,58,working,2,0.0,11
31,68,starved,0,0.0,11
31,12,working,2,0.3333333333333333,12
31,32,working,2,0.0,12
31,13,working,2,0.0,13
31,26,starved,0,0.0,13
31,37,starved,0,0.0,13
31,59,starved,0,0.0,13
31,63,starved,0,0.0,13
31,14,working,2,0.0,14
31,31,starved,0,0.0,14
31,35,starved,0,0.0,14
31,54,starved,0,0.0,14
31,56,starved,0,0.0,14
31,15,working,2,0.0,15
31,39,starved,0,0.0,15
31,49,starved,0,0.0,15
31,66,starved,0,0.0,15
31,72,starved,0,0.0,15
31,16,working,2,0.0,16
31,27,working,2,0.0,16
31,17,working,2,0.0,17
31,24,working,2,0.0,17
31,45,starved,0,0.0,17
31,18,working,2,0.0,18
31,55,starved,0,0.0,18
31,60,starved,0,0.0,18
31,64,starved,0,0.0,18
31,19,working,2,0.0,19
31,44,starved,0,0.0,19
31,53,starved,0,0.0,19
31,62,starved,0,0.0,19
31,20,working,2,0.3333333333333333,20
31,47,working,2,0.0,20
31,21,working,2,0.0,21
31,38,starved,0,0.0,21
32,0,working,2,0.0,0
32,71,working,2,0.0,0
32,1,working,2,0.3333333333333333,1
32,29,working,2,0.3333333333333333,1
32,2,working,2,0.0,2
32,25,starved,0,0.0,2
32,50,starved,0,0.0,2
32,51,starved,0,0.0,2
32,70,starved,0,0.0,2
32,3,working,2,0.0,3
32,33,starved,0,0.0,3
32,4,working,2,0.0,4
32,28,starved,0,0.0,4
32,41,working,2,0.0,4
32,52,starved,0,0.0,4
32,69,starved,0,0.0,4
32,5,working,2,0.6666666666666666,5
32,22,working,2,0.3333333333333333,5
32,6,working,2,0.0,6
32,23,working,2,0.0,6
32,30,working,2,0.0,6
32,46,starved,0,0.0,6
32,7,working,2,0.0,7
32,42,working,2,0.0,7
32,67,working,2,0.0,7
32,8,working,2,0.3333333333333333,8
32,40,working,2,0.0,8
32,57,working,2,0.0,8
32,9,working,2,0.0,9
32,34,working,2,0.0,9
32,36,working,2,0.0,9
32,61,starved,0,0.0,9
32,10,working,2,0.0,10
32,48,working,2,0.0,10
32,65,working,2,0.0,10
32,73,starved,0,0.0,10
32,11,working,2,0.0,11
32,43,working,2,0.0,11
32,58,working,2,0.0,11
32,68,blocked,1,0.0,11
32,12,working,2,0.6666666666666666,12
32,32,working,2,0.6666666666666666,12
32,13,working,2,0.0,13
32,26,working,2,0.0,13
32,37,starved,0,0.0,13
32,59,starved,0,0.0,13
32,63,starved,0,0.0,13
32,14,working,2,0.0,14
32,31,working,2,0.0,14
32,35,starved,0,0.0,14
32,54,starved,0,0.0,14
32,56,starved,0,0.0,14
32,15,working,2,0.0,15
32,39,working,2,0.0,15
32,49,starved,0,0.0,15
32,66,starved,0,0.0,15
32,72,starved,0,0.0,15
32,16,working,2,0.0,16
32,27,working,2,0.0,16
32,17,working,2,0.0,17
32,24,working,2,0.0,17
32,45,working,2,0.0,17
32,18,working,2,0.0,18
32,55,working,2,0.0,18
32,60,starved,0,0.0,18
32,64,starved,0,0.0,18
32,19,working,2,0.0,19
32,44,working,2,0.0,19
32,53,starved,0,0.0,19
32,62,starved,0,0.0,19
32,20,working,2,0.3333333333333333,20
32,47,working,2,0.0,20
32,21,starved,0,0.0,21
32,38,starved,0,0.0,21
33,0,working,2,0.0,0
33,71,working,2,0.0,0
33,1,working,2,0.6666666666666666,1
33,29,working,2,0.3333333333333333,1
33,2,working,2,0.0,2
33,25,working,2,0.0,2
33,50,starved,0,0.0,2
33,51,starved,0,0.0,2
33,70,starved,0,0.0,2
33,3,working,2,0.0,3
33,33,working,2,0.0,3
33,4,working,2,0.0,4
33,28,working,2,0.0,4
33,41,working,2,0.0,4
33,52,starved,0,0.0,4
33,69,starved,0,0.0,4
33,5,working,2,0.6666666666666666,5
33,22,working,2,0.3333333333333333,5
33,6,working,2,0.0,6
33,23,working,2,0.0,6
33,30,starved,0,0.0,6
33,46,starved,0,0.0,6
33,7,working,2,0.0,7
33,42,starved,0,0.0,7
33,67,starved,0,0.0,7
33,8,working,2,0.0,8
33,40,starved,0,0.0,8
33,57,starved,0,0.0,8
33,9,working,2,0.0,9
33,34,starved,0,0.0,9
33,36,starved,0,0.0,9
33,61,starved,0,0.0,9
33,10,working,2,0.0,10
33,48,starved,0,0.0,10
33,65,starved,0,0.0,10
33,73,starved,0,0.0,10
33,11,working,2,0.0,11
33,43,starved,0,0.0,11
33,58,starved,0,0.0,11
33,68,starved,0,0.0,11
33,12,working,2,0.6666666666666666,12
33,32,working,2,0.3333333333333333,12
33,13,working,2,0.0,13
33,26,working,2,0.0,13
33,37,starved,0,0.0,13
33,59,starved,0,0.0,13
33,63,starved,0,0.0,13
33,14,working,2,0.0,14
33,31,working,2,0.0,14
33,35,starved,0,0.0,14
33,54,starved,0,0.0,14
33,56,starved,0,0.0,14
33,15,working,2,0.0,15
33,39,starved,0,0.0,15
33,49,starved,0,0.0,15
33,66,starved,0,0.0,15
33,72,starved,0,0.0,15
33,16,working,2,0.0,16
33,27,starved,0,0.0,16
33,17,working,2,0.0,17
33,24,working,2,0.0,17
33,45,starved,0,0.0,17
33,18,working,2,0.0,18
33,55,working,2,0.0,18
33,60,starved,0,0.0,18
33,64,starved,0,0.0,18
33,19,working,2,0.0,19
33,44,working,2,0.0,19
33,53,starved,0,0.0,19
33,62,starved,0,0.0,19
33,20,working,2,0.6666666666666666,20
33,47,working,2,0.3333333333333333,20
33,21,working,2,0.0,21
33,38,working,2,0.0,21
34,0,working,2,0.0,0
34,71,working,2,0.0,0
34,1,working,2,0.6666666666666666,1
34,29,working,2,0.3333333333333333,1
34,2,working,2,0.0,2
34,25,working,2,0.0,2
34,50,starved,0,0.0,2
34,51,starved,0,0.0,2
34,70,starved,0,0.0,2
34,3,working,2,0.0,3
34,33,working,2,0.0,3
34,4,working,2,0.0,4
34,28,working,2,0.0,4
34,41,starved,0,0.0,4
34,52,starved,0,0.0,4
34,69,starved,0,0.0,4
34,5,working,2,0.6666666666666666,5
34,22,working,2,0.3333333333333333,5
34,6,working,2,0.0,6
34,23,working,2,0.0,6
34,30,working,2,0.0,6
34,46,starved,0,0.0,6
34,7,working,2,0.0,7
34,42,working,2,0.0,7
34,67,working,2,0.0,7
34,8,working,2,0.0,8
34,40,working,2,0.0,8
34,57,working,2,0.0,8
34,9,working,2,0.0,9
34,34,working,2,0.0,9
34,36,working,2,0.0,9
34,61,starved,0,0.0,9
34,10,working,2,0.0,10
34,48,working,2,0.0,10
34,65,starved,0,0.0,10
34,73,starved,0,0.0,10
34,11,working,2,0.0,11
34,43,working,2,0.0,11
34,58,starved,0,0.0,11
34,68,starved,0,0.0,11
34,12,working,2,0.6666666666666666,12
34,32,working,2,0.3333333333333333,12
34,13,working,2,0.0,13
34,26,working,2,0.0,13
34,37,starved,0,0.0,13
34,59,starved,0,0.0,13
34,63,starved,0,0.0,13
34,14,working,2,0.0,14
34,31,working,2,0.0,14
34,35,working,2,0.0,14
34,54,starved,0,0.0,14
34,56,starved,0,0.0,14
34,15,working,2,0.0,15
34,39,working,2,0.0,15
34,49,working,2,0.0,15
34,66,starved,0,0.0,15
34,72,starved,0,0.0,15
34,16,working,2,0.3333333333333333,16
34,27,working,2,0.0,16
34,17,working,2,0.0,17
34,24,working,2,0.0,17
34,45,starved,0,0.0,17
34,18,working,2,0.0,18
34,55,starved,0,0.0,18
34,60,starved,0,0.0,18
34,64,starved,0,0.0,18
34,19,working,2,0.0,19
34,44,starved,0,0.0,19
34,53,starved,0,0.0,19
34,62,starved,0,0.0,19
34,20,working,2,0.3333333333333333,20
34,47,working,2,0.3333333333333333,20
34,21,working,2,0.0,21
34,38,starved,0,0.0,21
35,0,working,2,0.0,0
35,71,working,2,0.0,0
35,1,working,2,0.6666666666666666,1
35,29,working,2,0.3333333333333333,1
35,2,working,2,0.0,2
35,25,working,2,0.0,2
35,50,starved,0,0.0,2
35,51,starved,0,0.0,2
35,70,starved,0,0.0,2
35,3,working,2,0.0,3
35,33,working,2,0.0,3
35,4,working,2,0.0,4
35,28,working,2,0.0,4
35,41,starved,0,0.0,4
35,52,starved,0,0.0,4
35,69,starved,0,0.0,4
35,5,working,2,0.6666666666666666,5
35,22,working,2,0.3333333333333333,5
35,6,working,2,0.0,6
35,23,working,2,0.0,6
35,30,working,2,0.0,6
35,46,starved,0,0.0,6
35,7,working,2,0.0,7
35,42,working,2,0.0,7
35,67,working,2,0.0,7
35,8,working,2,0.0,8
35,40,working,2,0.0,8
35,57,starved,0,0.0,8
35,9,working,2,0.0,9
35,34,working,2,0.0,9
35,36,working,2,0.0,9
35,61,starved,0,0.0,9
35,10,working,2,0.0,10
35,48,working,2,0.0,10
35,65,working,2,0.0,10
35,73,starved,0,0.0,10
35,11,working,2,0.0,11
35,43,starved,0,0.0,11
35,58,starved,0,0.0,11
35,68,starved,0,0.0,11
35,12,working,2,0.3333333333333333,12
35,32,working,2,0.3333333333333333,12
35,13,working,2,0.0,13
35,26,working,2,0.0,13
35,37,starved,0,0.0,13
35,59,starved,0,0.0,13
35,63,starved,0,0.0,13
35,14,working,2,0.0,14
35,31,working,2,0.0,14
35,35,starved,0,0.0,14
35,54,starved,0,0.0,14
35,56,starved,0,0.0,14
35,15,working,2,0.0,15
35,39,working,2,0.0,15
35,49,starved,0,0.0,15
35,66,starved,0,0.0,15
35,72,starved,0,0.0,15
35,16,working,2,0.0,16
35,27,working,2,0.0,16
35,17,working,2,0.0,17
35,24,working,2,0.0,17
35,45,working,2,0.0,17
35,18,working,2,0.0,18
35,55,working,2,0.0,18
35,60,working,2,0.0,18
35,64,starved,0,0.0,18
35,19,working,2,0.0,19
35,44,working,2,0.0,19
35,53,working,2,0.0,19
35,62,blocked,1,0.0,19
35,20,working,2,0.6666666666666666,20
35,47,working,2,0.6666666666666666,20
35,21,working,2,0.0,21
35,38,working,2,0.0,21
36,0,working,2,0.0,0
36,71,working,2,0.0,0
36,1,working,2,0.6666666666666666,1
36,29,working,2,0.3333333333333333,1
36,2,working,2,0.0,2
36,25,working,2,0.0,2
36,50,starved,0,0.0,2
36,51,starved,0,0.0,2
36,70,starved,0,0.0,2
36,3,working,2,0.0,3
36,33,working,2,0.0,3
36,4,working,2,0.0,4
36,28,working,2,0.0,4
36,41,starved,0,0.0,4
36,52,starved,0,0.0,4
36,69,starved,0,0.0,4
36,5,working,2,0.6666666666666666,5
36,22,working,2,0.3333333333333333,5
36,6,working,2,0.0,6
36,23,working,2,0.0,6
36,30,starved,0,0.0,6
36,46,starved,0,0.0,6
36,7,working,2,0.0,7
36,42,working,2,0.0,7
36,67,working,2,0.0,7
36,8,working,2,0.0,8
36,40,working,2,0.0,8
36,57,working,2,0.0,8
36,9,working,2,0.0,9
36,34,working,2,0.0,9
36,36,working,2,0.0,9
36,61,starved,0,0.0,9
36,10,working,2,0.3333333333333333,10
36,48,working,2,0.0,10
36,65,working,2,0.0,10
36,73,working,2,0.0,10
36,11,working,2,0.0,11
36,43,working,2,0.0,11
36,58,working,2,0.0,11
36,68,working,2,0.0,11
36,12,working,2,0.6666666666666666,12
36,32,working,2,0.6666666666666666,12
36,13,working,2,0.0,13
36,26,working,2,0.0,13
36,37,starved,0,0.0,13
36,59,starved,0,0.0,13
